year,name,country,cat,category2,Rationale,award,continent
1987,Louis Dolan,United States,Physics,5,"""For being one of the foremost experts worldwide in string theory""",Maria Goeppert-Mayer,North America
1988,Bonny L. Schumaker,United States,Physics,5,""" Rocket scientist""",Maria Goeppert-Mayer,North America
1989,Cherry A. Murray,United States,Physics,5,"""For outstanding achievement by a woman physicist in the early years of her career""",Maria Goeppert-Mayer,North America
1990,Ellen D. Williams,United States,Physics,5,""" For her research in surface properties and nanotechnology""",Maria Goeppert-Mayer,North America
1991,Alice E. White,United States,Physics,5,"""For career in physics with focus on Nanofabrication""",Maria Goeppert-Mayer,North America
1992,Barbara Cooper,United States,Physics,5,"""For her innovative experimental studies of low-energy ion interactions with metal surfaces""",Maria Goeppert-Mayer,North America
1993,Ewine van Dishoeck,Netherlands,Physics,5,"""For her works on interstellar molecules; physical and chemical evolution during star formation and planet formation; submillimeter and mid-infrared astronomy""",Maria Goeppert-Mayer,Europe
1994,Laura Greene,United States,Physics,5,"""She is noted for her research on Andreev bound states and is an expert in strongly correlated Fermionic systems""",Maria Goeppert-Mayer,North America
1995,Jacqueline Hewitt,United States,Physics,5,"""She was the first person to discover Einstein rings""",Maria Goeppert-Mayer,North America
1996,Marjorie Ann Olmstead,United States,Physics,5,"""For her innovative application of electron spectroscopies to surfaces and interfaces that has elucidated the importance of interfacial reactions on the structure""",Maria Goeppert-Mayer,North America
1997,Margaret Murnane,Ireland,Physics,5,"""For her works with lasers. She built a laser that flashed for ten quadrillionths of a second - the fastest that any human being has ever created.""",Maria Goeppert-Mayer,Europe
1998,Elizabeth Beise,United States,Physics,5,""" For her research in experimental nuclear physics focuses on the use of electromagnetic and weak probes of the internal structure of protons""",Maria Goeppert-Mayer,North America
1999,Andrea M. Ghez,United States,Physics,5,"""For use of adaptive optics in studies of the galactic center""",Maria Goeppert-Mayer,North America
2000,Sharon Glotzer,United States,Physics,5,"""For her contributions to the fields of soft matter and computational science""",Maria Goeppert-Mayer,North America
2001,Janet Conrad,United States,Physics,5,""" For work on the lightest known matter particles, the neutrino""",Maria Goeppert-Mayer,North America
2002,Deborah S. Jin,United States,Physics,5,"""Considered a pioneer in polar molecular quantum chemistry""",Maria Goeppert-Mayer,North America
2003,Chung-Pei Ma,Taiwan,Physics,5,""" For works on large-scale structure of the universe, dark matter, and the cosmic microwave background.""",Maria Goeppert-Mayer,Asia
2004,Suzanne Staggs,United States,Physics,5,"""For working on measurements of the cosmic microwave background (CMB) radiation left over from the universal primeval plasma""",Maria Goeppert-Mayer,North America
