year,yearMap,name,country,cat,category2,catMap,Rationale,award,continent,,,
2011,2013,Leymah Gbowee,Liberia,Peace & Leadership,8,7.2,"""For their non-violent struggle for the safety f women to full participation in Peace & Leadership-building work""",Nobel,Africa,1,1,0
2013,2014,Joyce Hilda Banda,Malawi,Peace & Leadership,8,7.2,"""Is a Malawian politician who was the President of Malawi from 7 April 2012 to 31 May 2014.""",Times 100People,Africa,2,2,0
2015,2015,Obiageli Ezekwesili,Nigeria,Peace & Leadership,8,7.2,"""Is a Nigerian chartered accountant. She was a co-founder of Transparency International.""",Times 100People,Africa,3,3,0
2011,2016,Tawakel Karman,Yemen,Peace & Leadership,8,7.2,"""For their non-violent struggle for the safety of women and for women's rights to full participation in Peace & Leadership-building work""",Nobel,Asia,4,4,0
2011,2017,Maria Bashir,Afghanistan,Peace & Leadership,8,7.2,"""Is the only woman to ever hold such a position in the country as of 2009.""",Times 100People,Asia,5,5,0
2013,2018,Park Geun-hye,South Korea,Peace & Leadership,8,7.2,"""Is a South Korean politician who served as President of South Korea from 2013 to 2017. Park was the first woman to be elected as President of South Korea.""",Times 100People,Asia,6,6,0
2014,2012,Malala Yousafzai,Pakistan and India,Peace & Leadership,8,7.4,"""for their struggle against the suppression of children and young people and for the right of all children to education"".",Nobel,Asia,7,0,1
2015,2013,Rula Ghani,Afghanistan,Peace & Leadership,8,7.4,"""Is the current First Lady of Afghanistan and wife of the incumbent President of Afghanistan, Ashraf Ghani.""",Times 100People,Asia,8,1,1
2016,2014,Tsai Ing-wen,China,Peace & Leadership & Leadership,8,7.4,"Taiwanese politician and the President of the Republic of China, commonly known as Taiwan.",Times 100People,Asia,9,2,1
2017,2015,Jean Liu,China,Peace & Leadership,8,7.4,"Jean Liu, is a Chinese business executive. Jean is the President of Didi Chuxing, China's largest mobile transportation platform.",Times 100People,Asia,10,3,1
2011,2016,Angela Merke,Germany,Peace & Leadership,8,7.4,"""Is a German politician serving as Chancellor of Germany since 2005 and leader of the centre-right Christian Democratic Union (CDU) since 2000.""",Times 100People,Europe,11,4,1
2012,2017,Christine Legarde,France,Peace & Leadership,8,7.4,"""Is a French lawyer and politician who has been the Managing Director (MD) of the International Monetary Fund (IMF) since 5 July 2011.""",Times 100People,Europe,12,5,1
2016,2018,Christine Lagarde,France,Peace & Leadership,8,7.4,French lawyer and politician who has been the Managing Director (MD) of the International Monetary Fund,Times 100People,Europe,13,6,1
2017,2012,Margrethe Vestager,Denmark,Peace & Leadership,8,7.6,"Is a Danish politician, who is currently serving as the European Commissioner for Competition.",Times 100People,Europe,14,0,2
2010,2013,Annise Danette Parker,United States,Peace & Leadership,8,7.6,"""An American politician who served as the 61st Mayor of Houston, Texas, from 2010 until 2016."" ",Times 100People,North America,15,1,2
2010,2014,Nancy Pelosi,United States,Peace & Leadership,8,7.6,"""An American politician serving as the Minority Leader of the United States House of Representatives since 2011, representing most of San Francisco, California.""",Times 100People,North America,16,2,2
2011,2015,Michelle Obama,United States,Peace & Leadership,8,7.6,"""Is an American lawyer and writer who was First Lady of the United States from 2009 to 2017.""",Times 100People,North America,17,3,2
2015,2016,Elizabeth Ann Warren,United States,Peace & Leadership,8,7.6,"""A member of the Democratic Party since 1996, she currently serves as the senior United States Senator from Massachusetts.""",Times 100People,North America,18,4,2
2015,2017,Joanne Liu,Canada,Peace & Leadership,8,7.6,""" Canadian pediatric doctor, Associate Professor of Medicine at the University of Montreal, Professor of Practice of Medicine at McGill University.""",Times 100People,North America,19,5,2
2016,2018,Diana Natalicio,United States,Peace & Leadership,8,7.6, An American academic administrator who serves as president of the University of Texas at El Paso ,Times 100People,North America,20,6,2
2017,2012,Elizabeth Warren,United States,Peace & Leadership,8,7.8,"Elizabeth Ann Warren is an American politician, academic and author. A member of the Democratic Party since 1996, she currently serves as the senior United States Senator",Times 100People,North America,21,0,3
2017,2013,Sandra Day O'Connor,United States,Peace & Leadership,8,7.8,"Is a retired Associate Justice of the Supreme Court of the United States, serving from her appointment in 1981 by Ronald Reagan to 2006. She was the first woman to serve on the Court",Times 100People,North America,22,1,3
2017,2014,Emma Stone,United States,Peace & Leadership,8,7.8,"The recipient of such accolades as an Academy Award, a BAFTA Award, and a Golden Globe, she is the highest-paid actress in the world.",Times 100People,North America,23,2,3
2012,2015,Portia Simpson-Miller,Jamaica,Peace & Leadership,8,7.8,"""She served as Prime Minister of Jamaica from March 2006 to September 2007 and again from 5 January 2012 to 3 March 2016.""",Times 100People,South America,24,3,3
2012,2016,Maria Foster,Brazil,Peace & Leadership,8,7.8,"""She was the first woman in the world to head a major oil-and-gas company.""",Times 100People,South America,25,4,3
2011,2017,Dilma Vana Rousseff,Brazil,Peace & Leadership,8,7.8,"""Is a Brazilian economist and politician who served as the 36th President of Brazil, holding the position from 2011 until her impeachment and removal from office on 31 August 2016.""",Times 100People,South America,26,5,3
2016,2018,Queen Maxima,Argentina,Peace & Leadership,8,7.8,She became the first queen consort of The Netherlands,Times 100People,South America,27,6,3
2005,2004,Meg Whitman,United States,Pioneers,9,8.4,"""American business executive, political activist, and philanthropist. Whitman served as President and Chief Executive Officer of Hewlett Packard Enterprise""",Times 100People,Africa,0,0,0
2004,2005,Louise Arbour,Canada,Pioneers,9,8.4,""" Lawyer, prosecutor and jurist. She is currently the UN Special Representative for International Migration..""",Times 100People,Asia,1,1,0
2006,2006,Mukhtaran Bibi,Pakistan,Pioneers,9,8.4,""" In June 2002, Mukhtaran was the survivor of a gang rape as a form of honour revenge""",Times 100People,Asia,2,2,0
2005,2007,Anne Lauvergeon,France,Pioneers,9,8.4,"French businesswoman, and was CEO of Areva 2001-2011.",Times 100People,Europe,3,3,0
2004,2008,Samantha Jane Power,United States,Pioneers,9,8.4,"""Served as the United States Ambassador to the United Nations from 2013 to 2017.",Times 100People,North America,4,4,0
2004,2004,Sandra Day O'Connor,United States,Pioneers,9,8.6,"""Associate Justice of the Supreme Court of the United States""",Times 100People,North America,5,0,1
2006,2005,Patricia Russo,United States,Pioneers,9,8.6,"""Russo is most widely known for having served as Chief Executive Officer (CEO) of Lucent Technologies.""",Times 100People,North America,6,1,1
2006,2006,Angelina Jolie,United States,Pioneers,9,8.6,"""Is noted for her humanitarian efforts, for which she has received a Jean Hersholt Humanitarian Award and an honorary damehood of the Order of St Michael and St George (DCMG).""",Times 100People,North America,7,2,1
2007,2007,Clara Furse,Canada,Pioneers,9,8.6,In 2005 she was ranked 19th in Fortune magazine's Most Powerful Women in Business list,Times 100People,North America,8,3,1
2010,2011,Graca Machel,Mozambique,Pioneers,9,8.2,"""Machel is an international advocate for women's and children's rights and in 1997 was made a British dame for her humanitarian work.""",Times 100People,Africa,0,0,0
2010,2012,Zaha Mohammad Hadid,Iraq,Pioneers,9,8.2,"""She was the first woman to receive the Pritzker Architecture Prize, in 2004.""",Times 100People,Asia,1,1,0
2010,2013,Yuna Kim,South Korea,Pioneers,9,8.2,"""She is the 2010 Olympic champion and 2014 silver medalist in ladies' singles; the 2009, 2013 World champion.""",Times 100People,Asia,2,2,0
2010,2014,Reem Al Numery,Yemen,Pioneers,9,8.2,"""Known for resisting child marriage, she was honored by U.S. Secretary of State Hillary Clinton on March 11, 2009, with the International Women of Courage Award.""",Times 100People,Asia,3,3,0
2010,2015,Zahra Rahnavard,Iran,Pioneers,9,8.2,"""Is an Iranian academic, artist and politician.[2] Rahnavard is a university professor, artist, and crusading intellectual who has been under house arrest from February 2011 to present. In 2009",Times 100People,Asia,4,4,0
2010,2016,Malalai Joya,Afghanistan,Pioneers,9,8.2,"""She is an outspoken critic of the Karzai administration and its western supporters, particularly the United States.""",Times 100People,Asia,5,5,0
2012,2017,Yani Tseng,Taiwan,Pioneers,9,8.2,"""Taiwanese professional golfer playing on the U.S.-based LPGA Tour.""",Times 100People,Asia,6,6,0
2012,2018,Samira Ibrahim,Egypt,Pioneers,9,8.2,""" Is an Egyptian activist who came to prominence during the Egyptian revolution.""",Times 100People,Asia,7,7,0
2012,2011,Maryam Durani,Afghanistan,Pioneers,9,8.4,"""Is an Afghan activist and women's advocate.[1] In 2012 she received the International Women of Courage Award.""",Times 100People,Asia,8,0,1
2012,2012,Manal al-Sharif,Saudi Arabia,Pioneers,9,8.4,"""Is a Saudi Arabian women's rights activist who helped start a women's right to drive campaign in 2011.""",Times 100People,Asia,9,1,1
2012,2013,Chen Lihua,China,Pioneers,9,8.4,"""Is the founder and chairman of Fuwah International Group, one of Beijing's largest commercial property developers.""",Times 100People,Asia,10,2,1
2013,2014,Roya Mahboob,Afghanistan,Pioneers,9,8.4,"""She founded and serves as CEO of the Afghan Citadel Software Company, a full-service software development company based in Herat, Afghanistan.""",Times 100People,Asia,11,3,1
2015,2015,Chanda Kochhar,India,Pioneers,9,8.4,"""Is the managing director and chief executive officer of ICICI Bank. She is widely recognised for her role in shaping retail banking in India.""",Times 100People,Asia,12,4,1
2015,2016,Pardis Sabeti,Iran,Pioneers,9,8.4,"""Is an Iranian-American computational biologist, medical geneticist and evolutionary geneticist, who developed a bioinformatic statistical method which identifies sections of the genome.""",Times 100People,Asia,13,5,1
2015,2017,Chai Jing,China,Pioneers,9,8.4,"""Chinese journalist, host, author and environmental activist.""",Times 100People,Asia,14,6,1
2016,2018,Sunita Narain,India,Pioneers,9,8.4,An Indian environmentalist and political activist as well as a major proponent of the Green concept of sustainable development,Times 100People,Asia,15,7,1
2016,2011,Nadia Murad,Iraq,Pioneers,9,8.6,"A Yazidi human rights activist from Iraq, Nobel Peace Prize nominee.",Times 100People,Asia,16,0,2
2017,2012,Yuriko Koike,Japan,Pioneers,9,8.6,"Koike was elected Governor of Tokyo, the city's first female governor",Times 100People,Asia,17,1,2
2013,2013,Gina Rinehart,Australia,Pioneers,9,8.6,"""Is an Australian mining magnate who is chairman of Hancock Prospecting.""",Times 100People,Australia,18,2,2
2011,2014,Kim Clijsters,Belgium,Pioneers,9,8.6,"""Is a Belgian former professional tennis player. Clijsters is a former world No. 1 in both singles and doubles.""",Times 100People,Europe,19,3,2
2016,2015,Mona Hanna-Attisha,England,Pioneers,9,8.6,A pediatrician and public health advocate whose research exposed the Flint Water Crisis. ,Times 100People,Europe,20,4,2
2013,2016,Sheryl Sandberg,United States,Pioneers,9,8.6,"""Is an American technology executive, activist, and author. She is the chief operating officer (COO) of Facebook and founder of Leanin.org.""",Times 100People,North America,21,5,2
2015,2017,Elizabeth Anne Holmes,United States,Pioneers,9,8.6,"""Is the founder and CEO of Theranos, a privately held blood test company based in Palo Alto, California that is under regulatory and financial scrutiny for alleged fraud.""",Times 100People,North America,22,6,2
2015,2018,Janet Louise Yellen,United States,Pioneers,9,8.6,"""Is an American economist. She served as the Chair of the Board of Governors of the Federal Reserve System from 2014-2018",Times 100People,North America,23,7,2
2016,2011,Caitlyn Jenner,United States,Pioneers,9,8.8,American television personality and retired Olympic gold medal-winning decathlete.,Times 100People,North America,24,0,3
2017,2012,Samantha Bee,Canada,Pioneers,9,8.8,"Is a Canadian-American comedian, writer, producer, political commentator, actress, media critic, and television host.",Times 100People,North America,25,1,3
2017,2013,Kirsten Green,Unites States,Pioneers,9,8.8,"In November 2017, she was assessed by Forbes as being the 93rd most powerful woman in the world, and was also included in Forbes Midas List of Top Tech Investors.",Times 100People,North America,26,2,3
2017,2014,Barbara Lynch,Canada,Pioneers,9,8.8,"Is a musician/singer/songwriter from Toronto, Ontario, Canada.",Times 100People,North America,27,3,3
2012,2015,Dulce Matuz,United States,Pioneers,9,8.8,""" Represents the finest of her generation, putting herself through college partly via scholarships and graduating with an electrical-engineering degree.""",Times 100People,South America,28,4,3
2016,2016,Christiana Figueres,Costa Rica,Pioneers,9,8.8,A Costa Rican diplomat with 35 years of experience in high level national and international policy and multilateral negotiations.,Times 100People,South America,29,5,3
2017,2017,Celina Turchi,Brazil,Pioneers,9,8.8,She first associated the link between zika virus and microcephaly in newborn babies during the 2015 disease outbreak in Brazil; she was listed by Nature magazine as one of the 10 most notable people in science in 2016,Times 100People,South America,30,6,3
1905,1905,Bertha von Suttner,Austria Hungary,Peace & Leadership,8,7.5,"Honorary President of Permanent International Peace Bureau, Bern, Switzerland; Author of Lay Down Your Arms.",Nobel,Europe,,,
1931,1935,Jane Addams,United States,Peace & Leadership,8,7.5,"Sociologist; International President, Women's International League for Peace and Freedom.",Nobel,North America,,,
1946,1945,Emily Greene Balch,United States,Peace & Leadership,8,7.5,"Formerly Professor of History and Sociology; Honorary International President, Women's International League for Peace and Freedom.",Nobel,North America,,,
1976,1974,Betty Williams,United Kingdom,Peace & Leadership,8,7.5,Peace Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People),Nobel,Europe,0,0,0
1976,1975,Mairead Maguire,United Kingdom,Peace & Leadership,8,7.5,Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People),Nobel,Europe,1,1,0
1979,1976,Mother Teresa,India,Peace & Leadership,8,7.5,"Leader of Missionaries of charity, Calcutta.",Nobel,Asia,2,2,0
1982,1985,Alva Myrdal,Sweden,Peace & Leadership,8,7.5,Former Cabinet Minister; Diplomat; Writer.,Nobel,Europe,,0,0
1991,1994,Aung San Suu Kyi,Burma,Peace & Leadership,8,7.5,"""For her non-violent struggle for democracy and human rights""",Nobel,Asia,0,0,0
1992,1995,Rigoberta Mench,Guatemala,Peace & Leadership,8,7.5,"""In recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",Nobel,North America,1,1,0
1997,1996,Jody Williams,United States,Peace & Leadership,8,7.5,"""For their work for the banning and clearing of anti-personnel mines""",Nobel,North America,2,2,0
